,name,faction,role,link
125,Cornelia Möhring,linke,Stellvertretende Fraktionsvorsitzende und frauenpolitische Sprecherin,https://www.bundestag.de/abgeordnete/biografien/M/moehring_cornelia-522070
126,Susanne Ferschl,linke,Stellvertretende Fraktionsvorsitzende und  Leiterin/Leiter AK,https://www.bundestag.de/abgeordnete/biografien/F/519424-519424
127,Dr. Gesine Lötzsch,linke,Stellvertretende Fraktionsvorsitzende und  Leiterin/Leiter AK,https://www.bundestag.de/abgeordnete/biografien/L/loetzsch_gesine-521686
128,Fabio De Masi,linke,Stellvertretende Fraktionsvorsitzende und  Leiterin/Leiter AK,https://www.bundestag.de/abgeordnete/biografien/D/521884-521884
129,Dr. Petra Sitte,linke,Stellvertretende Fraktionsvorsitzende und  Leiterin/Leiter AK,https://www.bundestag.de/abgeordnete/biografien/S/sitte_petra-523708
130,Dr. André Hahn,linke,Stellvertretende Fraktionsvorsitzende und  Leiterin/Leiter AK,https://www.bundestag.de/abgeordnete/biografien/H/hahn_andre-520042
131,Heike Hänsel,linke,Stellvertretende Fraktionsvorsitzende und  Leiterin/Leiter AK,https://www.bundestag.de/abgeordnete/biografien/H/haensel_heike-520020
132,Hubertus Zdebel,linke,Beauftragter Soziale Bewegungen,https://www.bundestag.de/abgeordnete/biografien/Z/zdebel_hubertus-524740
133,Petra Pau,linke,Vizepräsidentin des Bundestages,https://www.bundestag.de/abgeordnete/biografien/P/pau_petra-522572
134,Katrin Göring-Eckardt,gruene,Fraktionsvorsitzende,https://www.bundestag.de/abgeordnete/biografien/G/goering_eckardt_katrin-519782
135,Dr. Anton Hofreiter,gruene,Fraktionsvorsitzende,https://www.bundestag.de/abgeordnete/biografien/H/hofreiter_anton-520476
136,Britta Haßelmann,gruene,Erste Parlamentarische Geschäftsführerin,https://www.bundestag.de/abgeordnete/biografien/H/hasselmann_britta-520132
137,Dr. Franziska Brantner,gruene,Parlamentarische Geschäftsführerinnen,https://www.bundestag.de/abgeordnete/biografien/B/brantner_franziska-518622
138,Katharina Dröge,gruene,Parlamentarische Geschäftsführerinnen,https://www.bundestag.de/abgeordnete/biografien/D/droege_katharina-519146
139,Steffi Lemke,gruene,Parlamentarische Geschäftsführerinnen,https://www.bundestag.de/abgeordnete/biografien/L/lemke_steffi-521560
